Feature,Importance
TopographyDrainage,0.05301991507509797
DamsQuality,0.05278912266216998
PoliticalFactors,0.05238440894730578
IneffectiveDisasterPreparedness,0.05163527545625926
PopulationScore,0.051615454292011795
RiverManagement,0.05139623852882615
Landslides,0.05099542118155909
AgriculturalPractices,0.05067340038089476
DeterioratingInfrastructure,0.050642176872466554
Watersheds,0.0505451108466456
Siltation,0.05033171654290742
Deforestation,0.049623604200185474
WetlandLoss,0.049292745985864805
Urbanization,0.04905815881583119
MonsoonIntensity,0.048466616131580195
DrainageSystems,0.04818023849970575
ClimateChange,0.04816076620622101
InadequatePlanning,0.04759911711579503
CoastalVulnerability,0.046853648179647794
Encroachments,0.04673686407902444
